"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location_point1"
"50167153","ROOT & ROTI LLC","Queens","12608","111TH AVE","11420","4752439223",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.682290067686","-73.814976545822","410","28","017200","4250742","4116310004","QN55",
"50160531","the corner store","Brooklyn","753A","NOSTRAND AVE","11216","6318756706",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.671496193998","-73.950335128033","308","35","031702",,"3","BK61",
"50170180","CASA COLVEN INC.","Manhattan","79","CLINTON STREET","10002","6463704898",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.718825878394","-73.985209325353","103","01","001402","1004177","1003480021","MN28",
"41276645","ECUATORIANA RESTAURANT","Manhattan","16851687","AMSTERDAM AVENUE",,"2124914626","Spanish","2022-02-17T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","32",,,"2025-06-07T06:00:12.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50161811","CHIKA","Bronx","2368","HOFFMAN STREET","10458","7183540402",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.855321885296","-73.889043814866","206","15","039100","2011888","2030650027","BX06",
"50140371","35TH AVE HOTEL, LLC","Queens","3603","PRINCE ST","11354","9293291500",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.762160573126","-73.833109879006","407","20","086900","4541700","4049717504","QN22",
"50167425","NAPOLI PIZZA","Manhattan","1032","6 AVENUE","10018","9292197756",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.752688090018","-73.985652943134","105","04","008400","1016019","1008400087","MN17",
"50169502","EL CAMPO RESTURANTE","Queens","10817","LIBERTY AVE","11419","6463877242",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.68404134926","-73.832920344234","410","28","009800","4201710","4095130028","QN55",
"50111182","THE ALCHEMISTS KITCHEN","Manhattan","117","CROSBY STREET","10012","9177433747",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.724261421332","-73.9966159052","102","01","004300","1007930","1005100006","MN24",
"50095517","LA GRANGE DELICE LLC","Brooklyn","1124","SURF AVENUE","11224","7327991352",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-06-07T06:00:18.000",,"40.575495252044","-73.979056884272","313","47","035200","3000000","3086960037","BK21",
